#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;x
#CULTURE GROUPS;;;;;;;x
culture_group_edain;Edain;Edain;;;Edain;;x
culture_group_numenorean;Númenóreans;Númenóreen;;;Númenóreani;;x
culture_group_middlemen;;Hommes Communs;;;Uomini di Mezzo;;x
culture_group_forodwaith;Forodwaith;Forodwaith;;;Forodwaith;;x
culture_group_haldadian;Haladin;Haladin;;;Haladin;;x
culture_group_druedain;Drúedain;Drúedain;;;Drúedain;;x
culture_group_southron;Southrons;Hommes du Sud;;;Sudroni;;x
culture_group_halfling;Hobbits;Hobbits;;;Hobbit;;x
culture_group_dwarves;Khazâd;Khazâd;;;Khazâd;;x
culture_group_quendi;Quendi;Quendi;;;Quendi;;x
culture_group_amanyar;Amanyar;Amanyar;;;Amanyar;;x
culture_group_umanyar;Umanyar;Umanyar;;;Umanyar;;x
culture_group_aumanyar;Wood Elves;Elfes du Bois;Waldelfen;;Elfos del bosque;;x
culture_group_moriquendi;Moriquendi;Moriquendi;;;Moriquendi;;x
culture_group_onodrim;Onodrim;Onodrim;;;Onodrim;;x
culture_group_eru;Ainur;Ainur;;;Ainur;;x
culture_group_melkor;Creatures of Melkor;Créatures de Melkor;;;;;x
culture_group_wilderness;Wilderness;Vie Sauvage;;;Terre Selvagge;;x
#CULTURES;;;;;;;x
# Númenórean Cultures;;;;;;;x
culture_black_numenorean;Black Númenóreans;Númenóreen Noir;;;N. Neri;;x
# Drúedain Cultures;;;;;;;x
culture_druedain;Drúedain;Drúedain;;;Drúedain;;x
# Old First/Second age cultures;;;;;;;x
culture_haladin;Folk of Haleth;Peuple d'Haleth;;;Popolo di Haleth;;x
culture_maradin;Folk of Marach;Peuple de Marach;;;Popolo di Marach;;x
culture_beodin;Folk of Bëor;Peuple de Bëor;;;Popolo di Bëor;;x
# Men of Twilight Cultures;;;;;;;x
culture_northmen;Northmen;Hommes du Nord;;;Nordroni;;x
culture_woodsmen;Woodsmen;Hommes des Bois;;;Boscaioli;;x
culture_barding;Lake Men;Barding;;;Bardini;;x
culture_eotheod;Éothéod;Éothéod;;;Éothéod;;x
culture_beorning;Beornings;Beornides;;;Beorniani;;x
culture_dorwinrim;Dorwinrim;Dorwinrim;;;Dorwinrim;;x
# Easterling Cultures;;;;;;;x
culture_balchoth;Balchoths;Balchoth;;;Balchoth;;x
culture_wainriders;Wainriders;Wainrider;;;Carrieri;;x
culture_nurnim;Núrniags;Núrniags;;;Núrniag;;x
culture_variags;Variags;Variags;;;Variag;;x
culture_baradhrim;Baradhrim;;;;;;x
# Haladian Cultures;;;;;;;x
culture_dunlending;Dunlendings;Hommes du Pays de Dun;;;Dunlandiani;;x
culture_breelander;Men of Bree;Hommes de Bree;;;Uomini di Brea;;x
culture_hillmen;Hill Men;Hommes des Collines;;;Uomini delle Colline;;x
culture_mountainmen;Men of the Mountains;Men of the Mountains;;;Men of the Mountains;;x
# Forodwaith Cultures;;;;;;;x
culture_lossoth;Snowmen;Lossoth;;;Uomini delle Nevi;;x
# Southron Cultures
culture_haradrim;Haradrim;Haradrim;;;Haradrim;;x
culture_far_haradrim;Far Haradrim;Far Haradrim;;;Far Haradrim;;x
# Halfling Cultures;;;;;;;x
culture_harfoot;Harfoots;Pieds-Velus;;;Pelopiedi;;x
culture_fallohide;Fallohides;Pâles;;;Paloidi;;x
culture_stoor;Stoors;Forts;;;Sturoi;;x
culture_hobbit;Hobbits;Hobbits;;;Hobbits;;x
# Dwarven Cultures;;;;;;;x
culture_longbeard;Longbeards;Longue-Barbes;;;Lungobarbi;;x
culture_firebeard;Firebeards;Barbes-Enflammées;;;Barbafiamma;;x
culture_broadbeam;Broadbeams;Torses-Larges;;;Vastifasci;;x
culture_ironfist;Ironfists;Poings-de-Fer;;;Pugniferro;;x
culture_stiffbeard;Stiffbeards;Barbes-Touffues;;;Barbedure;;x
culture_blacklock;Blacklocks;Boucles-Noires;;;Nerachiave;;x
culture_petty_dwarves;Petty-Dwarves;Petits-Nains;;;;;x
# Elven Quendi Cultures;;;;;;;x
culture_minyar;Minyar;Minyar;;;Minyar;;x
culture_tatyar;Tatyar;Tatyar;;;Tatyar;;x
culture_nelyar;Nelyar;Nelyar;;;Nelyar;;x
culture_teleri;Teleri;Teleri;;;Teleri;;x
# Elven Amanyar Cultures;;;;;;;x
culture_vanyar;Vanyar;Vanyar;;;Vanyar;;x
culture_vanyar_desc;Followers of Ingwë, they were blond and pretty and went to Aman, and stayed there.;;;;;;x
culture_noldor;Noldor;Noldor;;;Noldor;;x
culture_noldor;Followers of Finwë, they went to Aman. However, events prompted many of them to head back to Middle-Earth, and as such they are the only High Elves on the map. They also have a crafting tradition rivalling that of the Dwarves.;;;;;;x
culture_falmari;Falmari;Falmari;;;Falmari;;x
culture_falmari_desc;Formed from those Teleri who reached Aman, this Elven culture is both highly Maritime and stay-at-home.;;;;;;x
# Elven Sindar Cultures;;;;;;;x
culture_sindar;Sindar;Sindar;;;Sindar;;x
