#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jotunn;Jotunn;Jotunn;Jotunn;;Jotunn;;;;;;;;;x
djinni;Djinni;Djinni;Djinni;;Djinni;;;;;;;;;x
undead_culture_group;Undead;Undead;Undead;;Undead;;;;;;;;;x
zombie_culture;Zombie;Zombie;Zombie;;Zombie;;;;;;;;;x
vampire;Vampire;Vampire;Vampire;;Vampire;;;;;;;;;x
vampire_desc;This character is an unholy vampire, immortal and free from disease, but hated by all but their own kin.;Vampire;Vampire;;Vampire;;;;;;;;;x
werewolf;Werewolf;Werewolf;Werewolf;;Werewolf;;;;;;;;;x
werewolf_desc;This character bears the blood of the wolf, undying and powerful, but cursed with a savage, bestial form that emerges when the moon is full.;Werewolf;Werewolf;;Werewolf;;;;;;;;;x
zombie;Zombie;Zombie;Zombie;;Zombie;;;;;;;;;x
zombie_desc;This abomination is risen from the dead, and has no goals but to devour the flesh of men.;Zombie;Zombie;;Zombie;;;;;;;;;x
mummy;Mummy;Mummy;Mummy;;Mummy;;;;;;;;;x
mummy_desc;Entombed and preserved long ago by the Egyptians, some force has brought this corpse back to life.;Mummy;Mummy;;Mummy;;;;;;;;;x
djinn;Djinn;Djinn;Djinn;;Djinn;;;;;;;;;x
djinn_desc;Said to be made from fire as men were made from clay, these beings have many powers, though they usually do not meddle in human affairs.;Djinn;Djinn;;Djinn;;;;;;;;;x
god;God;God;God;;God;;;;;;;;;x
god_desc;This character is imbued with divine power. Immortal and powerful beyond most human imagination, these beings are literal gods among men.;God;God;;God;;;;;;;;;x
blood_of_the_gods;Blood of the Gods;God;God;;God;;;;;;;;;x
blood_of_the_gods_desc;This character was not directly born of a god, but some of that powerful blood still remains.;God;God;;God;;;;;;;;;x
demi_god;Demi-god;God;God;;God;;;;;;;;;x
demi_god_desc;While not a true god, this character possesses a substantial amount of divine blood. Demi-gods may not live forever, but they are a cut above other men in almost every way.;God;God;;God;;;;;;;;;x
pup;Pup;Pup;Pup;;Pup;;;;;;;;;x
pup_desc;This child has shown signs of sharing the blood of the wolf. It cannot fully transform, but in time its full powers will awaken.;Pup;Pup;;Pup;;;;;;;;;x
fledgling;Fledgling;Fledgling;Fledgling;;Fledgling;;;;;;;;;x
fledgling_desc;This child is the spawn of a vampire. It is not yet above diseases and even death, but will mature in time.;Fledgling;Fledgling;;Fledgling;;;;;;;;;x
half_giant;Half-Giant;Half-Giant;Half-Giant;;Half-Giant;;;;;;;;;x
half_giant_desc;This character is the child of a giant and a non-giant. An imposing sight, though perhaps not as tactful as most, half-giants are formidable opponents in combat.;Half-Giant;Half-Giant;;Half-Giant;;;;;;;;;x
dragon;Dragon;Pup;Pup;;Pup;;;;;;;;;x
dragon_desc;This character is a mighty dragon, powerful and capable of living eternally. Dragons are wise, persuasive, and have a particular fondness for hoarding wealth. ;Pup;Pup;;Pup;;;;;;;;;x
dragonborn;Dragonborn;Pup;Pup;;Pup;;;;;;;;;x
dragonborn_desc;This character, though human, bears the blood of dragons and a small portion of their strength and wisdom.;Pup;Pup;;Pup;;;;;;;;;x
son_of_solomon;Son of Solomon;Son of Solomon;Son of Solomon;;Son of Solomon;;;;;;;;;x
son_of_solomon_desc;This character is the leader of the resurrected Legion of Solomon.;Son of Solomon;Son of Solomon;;Son of Solomon;;;;;;;;;x
philosopher_stone;The Philosopher's Stone;The Philosopher's Stone;The Philosopher's Stone;;The Philosopher's Stone;;;;;;;;;x
